keys,fr,en
"300% d'augmentation !","300% d'augmentation !","300% increase!"
"Et non je ne parle pas de mon salaire, mais bien de la [color=important]cybercriminalité[/color].","Et non je ne parle pas de mon salaire, mais bien de la [color=important]cybercriminalité[/color].","And no, I'm not talking about my salary, but about [color=important]cybercrime[/color]."
"Nous ne sommes plus à l'abri nulle part, les systèmes financiers sont au bord de la rupture.","Nous ne sommes plus à l'abri nulle part, les systèmes financiers sont au bord de la rupture.","We're no longer safe anywhere, financial systems are on the verge of collapse."
"Mais heureusement nos bien-aimés [color=important]gouvernements[/color] travaillent conjointement depuis des années sur une solution miracle : [color=important]Sentinelle[/color].","Mais heureusement nos bien-aimés [color=important]gouvernements[/color] travaillent conjointement depuis des années sur une solution miracle : [color=important]Sentinelle[/color].","But fortunately, our beloved [color=important]governments[/color] have been working together for years on a miracle solution: [color=important]Sentinel[/color]."
"Gilles, notre expert en technologie, pouvez-vous nous en dire plus ?","Gilles, notre expert en technologie, pouvez-vous nous en dire plus ?","Gilles, our technology expert, can you tell us more?"
"En effet, Karine, [color=important]Sentinelle[/color] est LA solution à tous nos malheurs. C'est la première intelligence…","En effet, Karine, [color=important]Sentinelle[/color] est LA solution à tous nos malheurs. C'est la première intelligence…","Indeed, Karine, [color=important]Sentinel[/color] is THE solution to all our troubles. It's the first intelligence…"
"... établie sur des serveurs [color=important]quantiques ![/color]","... établie sur des serveurs [color=important]quantiques ![/color]","... built on [color=important]quantum servers![/color]"
"C'est-à-dire qu'elle peut être partout à la fois... et en même temps, c'est comme si elle n'était pas là !","C'est-à-dire qu'elle peut être partout à la fois... et en même temps, c'est comme si elle n'était pas là !","Which means it can be everywhere at once... and at the same time, it's as if it isn't there at all!"
"Je n'y comprends rien Gilles !","Je n'y comprends rien Gilles !","I don't understand a thing, Gilles!"
"C'est normal, Karine...","C'est normal, Karine...","That's normal, Karine..."
"... c'est quantique !","... c'est quantique !","... it's quantum!"
"En clair, Sentinelle surveille tout le monde, partout, et tout le temps, Gilles ?","En clair, Sentinelle surveille tout le monde, partout, et tout le temps, Gilles ?","So basically, Sentinel watches everyone, everywhere, all the time, Gilles?"
"Oui ! Et si nous n'agissons pas bien, Sentinelle nous attrape et nous punit !","Oui ! Et si nous n'agissons pas bien, Sentinelle nous attrape et nous punit !","Yes! And if we don't behave, Sentinel catches us and punishes us!"
"Ça fait froid dans le dos, Gilles !","Ça fait froid dans le dos, Gilles !","That sends a chill down my spine, Gilles!"
"Vous avez quelque chose à cacher, Karine ?","Vous avez quelque chose à cacher, Karine ?","Do you have something to hide, Karine?"
"Ce n'est pas la question ! Et notre [color=important]vie privée[/color], Gilles ?","Ce n'est pas la question ! Et notre [color=important]vie privée[/color], Gilles ?","That's not the question! And what about our [color=important]privacy[/color], Gilles?"
"Ça n'existe pas pour Sentinelle !","Ça n'existe pas pour Sentinelle !","That doesn't exist for Sentinel!"
"On peut leur faire confiance pour une utilisation responsable, un comité de contrôle des demandes a été formé quand même !","On peut leur faire confiance pour une utilisation responsable, un comité de contrôle des demandes a été formé quand même !","We can trust them to use it responsibly, an oversight committee was set up after all!"
"Ah, dans ce cas, je ne vois pas comment ça pourrait mal tourner.","Ah, dans ce cas, je ne vois pas comment ça pourrait mal tourner.","Ah, in that case, I don't see how this could possibly go wrong."
"{{PlayerSession.pseudo}}, initialisation de la phase opérationnelle.","{{PlayerSession.pseudo}}, initialisation de la phase opérationnelle.","{{PlayerSession.pseudo}}, initializing the operational phase."
"On y est.","On y est.","Here we are."
"Aujourd'hui, je vais te confier ta première affaire.","Aujourd'hui, je vais te confier ta première affaire.","Today, I'm entrusting you with your first case."
"Nous avons suffisamment travaillé ensemble pour que je connaisse ta valeur.","Nous avons suffisamment travaillé ensemble pour que je connaisse ta valeur.","We've worked together long enough for me to know your worth."
"Tu fais partie des [color=important]rares[/color] profils qui ont tenu jusqu'au bout.","Tu fais partie des [color=important]rares[/color] profils qui ont tenu jusqu'au bout.","You're one of the [color=important]rare[/color] few who made it all the way."
"Je suis génial !","Je suis génial !","I'm brilliant!"
"C'est parce que je suis surpuissant !","C'est parce que je suis surpuissant !","It's because I'm ridiculously powerful!"
"Une conclusion audacieuse.","Une conclusion audacieuse.","A bold conclusion."
"Continue d'exploiter cette intelligence émotionnelle, elle sera précieuse.","Continue d'exploiter cette intelligence émotionnelle, elle sera précieuse.","Keep tapping into that emotional intelligence, it'll come in handy."
"J'ai eu un bon mentor","J'ai eu un bon mentor","I had a good mentor"
"Probablement parce que j'ai eu un excellent mentor !","Probablement parce que j'ai eu un excellent mentor !","Probably because I had an excellent mentor!"
"Flatteur, mais stratégique. Une hypothèse flatteuse.","Flatteur, mais stratégique. Une hypothèse flatteuse.","Flattering, yet strategic. A flattering hypothesis."
"Veille simplement à ne pas surestimer tes résultats.","Veille simplement à ne pas surestimer tes résultats.","Just be careful not to overestimate your results."
"{{PlayerSession.pseudo}}, je n'ai plus de doute sur tes capacités d'analyse.","{{PlayerSession.pseudo}}, je n'ai plus de doute sur tes capacités d'analyse.","{{PlayerSession.pseudo}}, I no longer have any doubt about your analytical skills."
"Mais il reste une variable que je n'ai jamais pu mesurer.","Mais il reste une variable que je n'ai jamais pu mesurer.","But there's one variable I've never been able to measure."
"Elle ne demande aucune compétence technique... et pourtant, elle fera toute la différence.","Elle ne demande aucune compétence technique... et pourtant, elle fera toute la différence.","It requires no technical skill at all... and yet, it will make all the difference."
"As-tu deviné de quoi je parle ?","As-tu deviné de quoi je parle ?","Have you guessed what I'm talking about?"
"Le charisme ?","Le charisme ?","Charisma?"
"Le charisme !","Le charisme !","Charisma!"
"Une réponse inattendue. Intéressante, mais inexacte.","Une réponse inattendue. Intéressante, mais inexacte.","An unexpected answer. Interesting, but incorrect."
"L'éthique ?","L'éthique ?","Ethics?"
"L'éthique !","L'éthique !","Ethics!"
"Exact. Tu as identifié la bonne variable.","Exact. Tu as identifié la bonne variable.","Correct. You identified the right variable."
"Je ne sais pas.","Je ne sais pas.","I don't know."
"Admettre une absence de données est le premier pas vers une analyse rigoureuse. C'est le début de la sagesse.","Admettre une absence de données est le premier pas vers une analyse rigoureuse. C'est le début de la sagesse.","Admitting a lack of data is the first step toward rigorous analysis. It's the beginning of wisdom."
"Je parle de [color=important]l'éthique[/color], {{PlayerSession.pseudo}}.","Je parle de [color=important]l'éthique[/color], {{PlayerSession.pseudo}}.","I'm talking about [color=important]ethics[/color], {{PlayerSession.pseudo}}."
"Dans cette affaire, j'observerai tes décisions afin d'établir ton indice d'éthique.","Dans cette affaire, j'observerai tes décisions afin d'établir ton indice d'éthique.","In this case, I'll be watching your decisions to establish your ethics score."
"Ce n'est ni un jugement ni une note.","Ce n'est ni un jugement ni une note.","It's neither a judgment nor a grade."
"Je cherche simplement à comprendre qui tu es lorsque personne ne te dit quoi faire.","Je cherche simplement à comprendre qui tu es lorsque personne ne te dit quoi faire.","I'm simply trying to understand who you are when no one is telling you what to do."
"Ton premier client s'appelle [color=important]Jean Ranoud[/color], sa fille a disparu.","Ton premier client s'appelle [color=important]Jean Ranoud[/color], sa fille a disparu.","Your first client is called [color=important]Jean Ranoud[/color], his daughter has disappeared."
"Retrouve-la, {{PlayerSession.pseudo}}, je te mets en contact.","Retrouve-la, {{PlayerSession.pseudo}}, je te mets en contact.","Find her, {{PlayerSession.pseudo}}, I'm putting you in touch with him."
"N'obéis pas. Comprends. Juge. Agis.","N'obéis pas. Comprends. Juge. Agis.","Don't obey. Understand. Judge. Act."
"Allo ?","Allo ?","Hello?"
"C'est vous le Taïe What ?","C'est vous le Taïe What ?","You're the Wide Hat guy?"
"C'est White Hat.","C'est White Hat.","It's White Hat."
"Et vous, vous êtes le boomer en détresse ?","Et vous, vous êtes le boomer en détresse ?","And you're the boomer in distress?"
"Oh, un peu de respect. Je paye, j'ai le droit de me tromper de nom !","Oh, un peu de respect. Je paye, j'ai le droit de me tromper de nom !","Oh, a bit of respect. I'm paying, I've got the right to get the name wrong!"
"Que puis-je pour vous ?","Que puis-je pour vous ?","What can I do for you?"
"Bon... enfin quelqu'un qui va servir à quelque chose.","Bon... enfin quelqu'un qui va servir à quelque chose.","Well... finally someone who'll actually be useful."
"Ma fille Alizée a disparu [color=important]le jour de ses dix-huit ans.[/color]","Ma fille Alizée a disparu [color=important]le jour de ses dix-huit ans.[/color]","My daughter Alizée disappeared [color=important]on her eighteenth birthday.[/color]"
"Je lui avais préparé un gâteau.","Je lui avais préparé un gâteau.","I'd made her a cake."
